publication_number,cosine_distance,cosine_similarity
JP-S5019621-Y1,0.0,1.0
JP-S4720371-Y1,0.0,1.0
JP-S5210052-Y1,0.0,1.0
JP-S476478-Y1,0.0,1.0
JP-S4830011-B1,0.0,1.0
JP-S4817510-B1,0.0,1.0
JP-S4810013-Y1,0.0,1.0
JP-S4912195-B1,0.0,1.0
JP-S4741168-Y1,0.0,1.0
JP-S4812321-Y1,0.0,1.0
JP-S4828681-Y1,0.0,1.0
JP-S4920547-B1,0.0,1.0
JP-S5015117-B1,0.0,1.0
JP-S4740171-Y1,0.0,1.0
JP-S4830758-Y1,0.0,1.0
JP-S518166-B1,0.0,1.0
JP-S5610549-B1,0.0,1.0
JP-S4726827-Y1,0.0,1.0
JP-S4925916-Y1,0.0,1.0
JP-S475861-Y1,0.0,1.0
JP-S4933379-B1,0.0,1.0
JP-S4830766-Y1,0.0,1.0
JP-S482002-Y1,0.0,1.0
JP-S4633280-Y1,0.0,1.0
JP-S49632-Y1,0.0,1.0
JP-S4944476-B1,0.0,1.0
JP-S503970-B1,0.0,1.0
JP-S482124-Y1,0.0,1.0
JP-S4921376-B1,0.0,1.0
JP-S4711220-Y1,0.0,1.0
JP-S4926058-B1,0.0,1.0
JP-S4922284-Y1,0.0,1.0
JP-S4839883-Y1,0.0,1.0
JP-S495221-Y1,0.0,1.0
JP-S4810548-B1,0.0,1.0
JP-S5241329-B1,0.0,1.0
JP-S52902-B1,0.0,1.0
JP-S5116787-B1,0.0,1.0
JP-S5334373-B1,0.0,1.0
JP-S4830182-Y1,0.0,1.0
JP-S505556-B1,0.0,1.0
JP-S4624496-Y1,0.0,1.0
JP-S4828235-B1,0.0,1.0
JP-S4928635-Y1,0.0,1.0
JP-S4925192-Y1,0.0,1.0
JP-S5234574-B1,0.0,1.0
JP-S4840342-Y1,0.0,1.0
JP-S4931431-Y1,0.0,1.0
JP-S496038-B1,0.0,1.0
JP-S4822231-Y1,0.0,1.0
JP-S5016709-B1,0.0,1.0
JP-S4721219-Y1,0.0,1.0
JP-S5245863-B1,0.0,1.0
JP-S489000-Y1,0.0,1.0
JP-S4816840-B1,0.0,1.0
JP-S5026343-B1,0.0,1.0
JP-S482459-Y1,0.0,1.0
JP-S5149171-B1,0.0,1.0
JP-S5016611-Y1,0.0,1.0
JP-S4844570-B1,0.0,1.0
JP-S48314-Y1,0.0,1.0
JP-S4840202-Y1,0.0,1.0
JP-S4524947-Y1,0.0,1.0
JP-S495208-Y1,0.0,1.0
JP-S4835943-B1,0.0,1.0
JP-S4819659-B1,0.0,1.0
JP-S4941435-B1,0.0,1.0
JP-S4936126-B1,0.0,1.0
JP-S4810224-Y1,0.0,1.0
JP-S4838452-Y1,0.0,1.0
JP-S5039971-B1,0.0,1.0
JP-S5134198-Y1,0.0,1.0
JP-S4923202-B1,0.0,1.0
JP-S5116197-Y1,0.0,1.0
JP-S505708-Y1,0.0,1.0
JP-S492107-Y1,0.0,1.0
JP-S5022870-B1,0.0,1.0
JP-S4810959-Y1,0.0,1.0
JP-S4843915-B1,0.0,1.0
JP-S5012632-Y1,0.0,1.0
JP-S5018216-B1,0.0,1.0
JP-S491465-B1,0.0,1.0
JP-S481210-Y1,0.0,1.0
JP-S4910193-B1,0.0,1.0
JP-S4820136-B1,0.0,1.0
JP-S4631604-Y1,0.0,1.0
JP-S49748-B1,0.0,1.0
JP-S5250799-B1,0.0,1.0
JP-S495358-B1,0.0,1.0
JP-S508092-Y1,0.0,1.0
JP-S4812153-B1,0.0,1.0
JP-S511718-Y1,0.0,1.0
JP-S4812208-Y1,0.0,1.0
JP-S501838-B1,0.0,1.0
JP-S4829283-B1,0.0,1.0
JP-S493957-B1,0.0,1.0
JP-S5025770-B1,0.0,1.0
JP-S4728778-Y1,0.0,1.0
JP-S5139530-Y1,0.0,1.0
JP-S4816451-Y1,0.0,1.0
JP-S4837409-Y1,0.0,1.0
JP-S5134941-Y1,0.0,1.0
JP-S4930532-Y1,0.0,1.0
JP-S4910086-B1,0.0,1.0
JP-S4828956-B1,0.0,1.0
JP-S4812724-B1,0.0,1.0
JP-S4621543-Y1,0.0,1.0
JP-S4912328-Y1,0.0,1.0
JP-S4819920-Y1,0.0,1.0
JP-S5029493-Y1,0.0,1.0
JP-S513873-Y1,0.0,1.0
JP-S4935160-B1,0.0,1.0
JP-S4911256-Y1,0.0,1.0
JP-S4823628-Y1,0.0,1.0
JP-S4729259-Y1,0.0,1.0
JP-S5126029-B1,0.0,1.0
JP-S5310566-Y1,0.0,1.0
JP-S4926453-Y1,0.0,1.0
JP-S4943544-Y1,0.0,1.0
JP-S4946632-Y1,0.0,1.0
JP-S5036543-Y1,0.0,1.0
JP-S4943863-B1,0.0,1.0
JP-S5042223-Y1,0.0,1.0
JP-S4832588-Y1,0.0,1.0
JP-S5020581-Y1,0.0,1.0
JP-S4721330-Y1,0.0,1.0
JP-S54478-B1,0.0,1.0
JP-S4831369-B1,0.0,1.0
JP-S4818863-B1,0.0,1.0
JP-S4831281-Y1,0.0,1.0
JP-S4620936-Y1,0.0,1.0
JP-S513211-Y1,0.0,1.0
JP-S5015547-B1,0.0,1.0
JP-S4825507-Y1,0.0,1.0
JP-S4836298-B1,0.0,1.0
JP-S5133432-B1,0.0,1.0
JP-S487250-Y1,0.0,1.0
JP-S5120699-Y1,0.0,1.0
JP-S4737728-Y1,0.0,1.0
JP-S4916208-B1,0.0,1.0
JP-S5035943-Y1,0.0,1.0
JP-S5022903-B1,0.0,1.0
JP-S4925161-Y1,0.0,1.0
JP-S4738113-Y1,0.0,1.0
JP-S4928857-B1,0.0,1.0
JP-S4817555-B1,0.0,1.0
JP-S4910889-B1,0.0,1.0
JP-S4911925-Y1,0.0,1.0
JP-S507029-B1,0.0,1.0
JP-S499116-Y1,0.0,1.0
JP-S5126877-B1,0.0,1.0
JP-S5027245-Y1,0.0,1.0
JP-S4821898-B1,0.0,1.0
JP-S4835173-B1,0.0,1.0
JP-S4928262-B1,0.0,1.0
JP-S4929479-Y1,0.0,1.0
JP-S4838966-Y1,0.0,1.0
JP-S4831438-Y1,0.0,1.0
JP-S4835638-Y1,0.0,1.0
JP-S4932105-B1,0.0,1.0
JP-S4928119-Y1,0.0,1.0
JP-S4513811-Y1,0.0,1.0
JP-S4829821-Y1,0.0,1.0
JP-S5019630-B1,0.0,1.0
JP-S4711767-Y1,0.0,1.0
JP-S4929705-B1,0.0,1.0
JP-S5127891-Y1,0.0,1.0
JP-S493066-B1,0.0,1.0
